date,isin,nav
2016-10-10,IE0004460683,6.7760
2016-10-11,IE0004460683,6.7540
2016-10-12,IE0004460683,6.7530
2016-10-13,IE0004460683,6.7050
2016-10-14,IE0004460683,6.7300
2016-10-17,IE0004460683,6.7100
2016-10-18,IE0004460683,6.7810
2016-10-19,IE0004460683,6.8480
2016-10-20,IE0004460683,6.8560
2016-10-21,IE0004460683,6.8670
2016-10-24,IE0004460683,6.8510
2016-10-25,IE0004460683,6.8530
2016-10-26,IE0004460683,6.8110
2016-10-27,IE0004460683,6.8000
2016-10-28,IE0004460683,6.7860
2016-11-02,IE0004460683,6.5870
2016-11-03,IE0004460683,6.5940
2016-11-04,IE0004460683,6.5550
2016-11-07,IE0004460683,6.6960
2016-11-08,IE0004460683,6.7250
2016-11-09,IE0004460683,6.8410
2016-11-10,IE0004460683,6.9260
2016-11-11,IE0004460683,6.8360
2016-11-14,IE0004460683,6.9080
2016-11-15,IE0004460683,6.9940
2016-11-16,IE0004460683,6.9880
2016-11-17,IE0004460683,6.9940
2016-11-18,IE0004460683,7.0170
2016-11-21,IE0004460683,7.1060
2016-11-22,IE0004460683,7.1560
2016-11-23,IE0004460683,7.1940
2016-11-24,IE0004460683,7.1910
2016-11-25,IE0004460683,7.1580
2016-11-28,IE0004460683,7.1120
2016-11-29,IE0004460683,7.0430
2016-11-30,IE0004460683,7.2120
2016-12-01,IE0004460683,7.2610
2016-12-02,IE0004460683,7.2250
2016-12-05,IE0004460683,7.2430
2016-12-06,IE0004460683,7.2510
2016-12-07,IE0004460683,7.3130
2016-12-09,IE0004460683,7.4940
2016-12-12,IE0004460683,7.4910
2016-12-13,IE0004460683,7.5110
2016-12-14,IE0004460683,7.4190
2016-12-15,IE0004460683,7.5140
2016-12-16,IE0004460683,7.5440
2016-12-19,IE0004460683,7.5140
2016-12-20,IE0004460683,7.5470
2016-12-21,IE0004460683,7.5220
2016-12-22,IE0004460683,7.5130
2016-12-23,IE0004460683,7.4950
2016-12-29,IE0004460683,7.4850
2016-12-30,IE0004460683,7.4360
2017-01-03,IE0004460683,7.5830
2017-01-04,IE0004460683,7.5640
2017-01-05,IE0004460683,7.5040
2017-01-09,IE0004460683,7.4420
2017-01-10,IE0004460683,7.4140
2017-01-11,IE0004460683,7.5350
2017-01-12,IE0004460683,7.4440
2017-01-13,IE0004460683,7.4660
2017-01-16,IE0004460683,7.4580
2017-01-17,IE0004460683,7.4280
2017-01-18,IE0004460683,7.4320
2017-01-19,IE0004460683,7.4220
2017-01-20,IE0004460683,7.4200
2017-01-23,IE0004460683,7.3570
2017-01-24,IE0004460683,7.4490
2017-01-25,IE0004460683,7.5050
2017-01-26,IE0004460683,7.5270
2017-01-27,IE0004460683,7.4670
2017-01-30,IE0004460683,7.3790
2017-01-31,IE0004460683,7.3050
2017-02-01,IE0004460683,7.3330
2017-02-02,IE0004460683,7.3260
2017-02-03,IE0004460683,7.3480
2017-02-06,IE0004460683,7.3220
2017-02-07,IE0004460683,7.2980
2017-02-08,IE0004460683,7.2910
2017-02-09,IE0004460683,7.3410
2017-02-10,IE0004460683,7.4270
2017-02-13,IE0004460683,7.4750
2017-02-14,IE0004460683,7.4910
2017-02-15,IE0004460683,7.4870
2017-02-16,IE0004460683,7.4070
2017-02-17,IE0004460683,7.3830
2017-02-20,IE0004460683,7.3930
2017-02-21,IE0004460683,7.4780
2017-02-22,IE0004460683,7.4150
2017-02-23,IE0004460683,7.3960
2017-02-24,IE0004460683,7.3390
2017-02-27,IE0004460683,7.3310
2017-02-28,IE0004460683,7.3060
2017-03-01,IE0004460683,7.4450
2017-03-02,IE0004460683,7.4240
2017-03-03,IE0004460683,7.3910
2017-03-06,IE0004460683,7.3760
2017-03-07,IE0004460683,7.3510
2017-03-08,IE0004460683,7.2500
2017-03-09,IE0004460683,7.2290
2017-03-10,IE0004460683,7.2130
2017-03-13,IE0004460683,7.2190
2017-03-14,IE0004460683,7.1570
2017-03-15,IE0004460683,7.2660
2017-03-16,IE0004460683,7.2390
2017-03-20,IE0004460683,7.2110
2017-03-21,IE0004460683,7.1390
2017-03-22,IE0004460683,7.1290
2017-03-23,IE0004460683,7.1390
2017-03-24,IE0004460683,7.1000
2017-03-27,IE0004460683,7.0410
2017-03-29,IE0004460683,7.2450
2017-03-30,IE0004460683,7.2730
2017-03-31,IE0004460683,7.2680
2017-04-03,IE0004460683,7.2690
2017-04-04,IE0004460683,7.3110
2017-04-05,IE0004460683,7.3090
2017-04-06,IE0004460683,7.3480
2017-04-07,IE0004460683,7.3710
2017-04-10,IE0004460683,7.4220
2017-04-11,IE0004460683,7.4030
2017-04-12,IE0004460683,7.3800
2017-04-13,IE0004460683,7.2800
2017-04-18,IE0004460683,7.1720
2017-04-19,IE0004460683,7.0880
2017-04-20,IE0004460683,7.0760
2017-04-21,IE0004460683,7.0950
2017-04-24,IE0004460683,7.0820
2017-04-26,IE0004460683,7.1120
2017-04-27,IE0004460683,7.0340
2017-04-28,IE0004460683,7.0250
2017-05-02,IE0004460683,7.0060
2017-05-03,IE0004460683,6.9920
2017-05-04,IE0004460683,6.8960
2017-05-05,IE0004460683,6.9850
2017-05-08,IE0004460683,7.0470
2017-05-09,IE0004460683,7.0410
2017-05-10,IE0004460683,7.1200
2017-05-11,IE0004460683,7.1010
2017-05-12,IE0004460683,7.0620
2017-05-15,IE0004460683,7.0830
2017-05-16,IE0004460683,7.0260
2017-05-17,IE0004460683,6.9230
2017-05-18,IE0004460683,6.9070
2017-05-19,IE0004460683,6.9540
2017-05-22,IE0004460683,6.9320
2017-05-23,IE0004460683,6.9400
2017-05-24,IE0004460683,6.9550
2017-05-26,IE0004460683,6.8600
2017-05-29,IE0004460683,6.8660
2017-05-30,IE0004460683,6.8130
2017-05-31,IE0004460683,6.7450
2017-06-01,IE0004460683,6.8020
2017-06-06,IE0004460683,6.7740
2017-06-07,IE0004460683,6.7050
2017-06-08,IE0004460683,6.7170
2017-06-09,IE0004460683,6.8420
2017-06-12,IE0004460683,6.8410
2017-06-13,IE0004460683,6.8940
2017-06-14,IE0004460683,6.7530
2017-06-15,IE0004460683,6.7490
2017-06-16,IE0004460683,6.8050
2017-06-19,IE0004460683,6.8320
2017-06-20,IE0004460683,6.7480
2017-06-21,IE0004460683,6.6800
2017-06-22,IE0004460683,6.6750
2017-06-26,IE0004460683,6.6850
2017-06-27,IE0004460683,6.6490
2017-06-28,IE0004460683,6.6560
2017-06-29,IE0004460683,6.6080
2017-06-30,IE0004460683,6.6040
2017-07-03,IE0004460683,6.7180
2017-07-04,IE0004460683,6.7280
2017-07-05,IE0004460683,6.6550
2017-07-06,IE0004460683,6.5720
2017-07-07,IE0004460683,6.5580
2017-07-10,IE0004460683,6.5810
2017-07-11,IE0004460683,6.5820
2017-07-12,IE0004460683,6.6400
2017-07-13,IE0004460683,6.6680
2017-07-14,IE0004460683,6.6950
2017-07-17,IE0004460683,6.6870
2017-07-18,IE0004460683,6.6010
2017-07-19,IE0004460683,6.7050
2017-07-20,IE0004460683,6.6450
2017-07-21,IE0004460683,6.5730
2017-07-24,IE0004460683,6.5600
2017-07-25,IE0004460683,6.6230
2017-07-26,IE0004460683,6.6490
2017-07-27,IE0004460683,6.6660
2017-07-28,IE0004460683,6.6190
2017-07-31,IE0004460683,6.6100
2017-08-01,IE0004460683,6.6290
2017-08-02,IE0004460683,6.5950
2017-08-03,IE0004460683,6.5390
2017-08-04,IE0004460683,6.6170
2017-08-08,IE0004460683,6.5900
2017-08-09,IE0004460683,6.5700
2017-08-10,IE0004460683,6.5100
2017-08-11,IE0004460683,6.4420
2017-08-14,IE0004460683,6.4480
2017-08-16,IE0004460683,6.4400
2017-08-17,IE0004460683,6.3750
2017-08-18,IE0004460683,6.3720
2017-08-21,IE0004460683,6.3240
2017-08-22,IE0004460683,6.3950
2017-08-23,IE0004460683,6.3990
2017-08-24,IE0004460683,6.4080
2017-08-25,IE0004460683,6.3980
2017-08-28,IE0004460683,6.3470
2017-08-29,IE0004460683,6.3030
2017-08-30,IE0004460683,6.3570
2017-08-31,IE0004460683,6.4090
2017-09-01,IE0004460683,6.4700
2017-09-04,IE0004460683,6.4490
2017-09-05,IE0004460683,6.4610
2017-09-06,IE0004460683,6.5130
2017-09-07,IE0004460683,6.5070
2017-09-08,IE0004460683,6.4540
2017-09-11,IE0004460683,6.5230
2017-09-12,IE0004460683,6.5740
2017-09-13,IE0004460683,6.6320
2017-09-14,IE0004460683,6.6740
2017-09-15,IE0004460683,6.6360
2017-09-18,IE0004460683,6.6650
2017-09-19,IE0004460683,6.6770
2017-09-20,IE0004460683,6.7210
2017-09-21,IE0004460683,6.7550
2017-09-22,IE0004460683,6.7560
2017-09-25,IE0004460683,6.8580
2017-09-26,IE0004460683,6.8900
2017-09-27,IE0004460683,6.9260
2017-09-28,IE0004460683,6.9100
2017-09-29,IE0004460683,6.8930
2017-10-02,IE0004460683,6.9390
2017-10-03,IE0004460683,6.9490
2017-10-04,IE0004460683,6.9300
2017-10-05,IE0004460683,6.9740
2017-10-06,IE0004460683,6.9160
2017-10-09,IE0004460683,6.9170
2017-10-10,IE0004460683,6.8920
2017-10-11,IE0004460683,6.8810
2017-10-12,IE0004460683,6.8610
2017-10-13,IE0004460683,6.8840
2017-10-17,IE0004460683,6.9190
2017-10-18,IE0004460683,6.8800
2017-10-19,IE0004460683,6.8390
2017-10-20,IE0004460683,6.8730
2017-10-23,IE0004460683,6.8710
2017-10-24,IE0004460683,6.8740
2017-10-25,IE0004460683,6.8050
2017-10-26,IE0004460683,6.8780
2017-10-27,IE0004460683,6.9670
2017-10-31,IE0004460683,7.0050
2017-11-02,IE0004460683,7.0590
2017-11-03,IE0004460683,7.1040
2017-11-06,IE0004460683,7.2140
2017-11-07,IE0004460683,7.2320
2017-11-08,IE0004460683,7.2170
2017-11-09,IE0004460683,7.1830
2017-11-10,IE0004460683,7.1320
2017-11-13,IE0004460683,7.0900
2017-11-14,IE0004460683,6.9400
2017-11-15,IE0004460683,6.8450
2017-11-16,IE0004460683,6.8530
2017-11-17,IE0004460683,6.8640
2017-11-20,IE0004460683,6.8810
2017-11-21,IE0004460683,6.9210
2017-11-22,IE0004460683,6.9150
2017-11-23,IE0004460683,6.8990
2017-11-24,IE0004460683,6.8660
2017-11-27,IE0004460683,6.8040
2017-11-28,IE0004460683,6.8620
2017-11-29,IE0004460683,6.8790
2017-11-30,IE0004460683,6.8980
2017-12-01,IE0004460683,6.9570
2017-12-04,IE0004460683,6.9790
2017-12-05,IE0004460683,6.9660
2017-12-06,IE0004460683,6.9160
2017-12-07,IE0004460683,6.9240
2017-12-11,IE0004460683,7.0000
2017-12-12,IE0004460683,7.0420
2017-12-13,IE0004460683,7.0140
2017-12-14,IE0004460683,6.9860
2017-12-15,IE0004460683,6.9810
2017-12-18,IE0004460683,7.0260
2017-12-19,IE0004460683,7.0140
2017-12-20,IE0004460683,7.0360
2017-12-21,IE0004460683,7.1490
2017-12-22,IE0004460683,7.1710
2017-12-28,IE0004460683,7.1880
2017-12-29,IE0004460683,7.1480
2018-01-02,IE0004460683,7.2140
2018-01-03,IE0004460683,7.2960
2018-01-04,IE0004460683,7.3380
2018-01-05,IE0004460683,7.3660
2018-01-08,IE0004460683,7.4160
2018-01-09,IE0004460683,7.4340
2018-01-10,IE0004460683,7.4030
2018-01-11,IE0004460683,7.4570
2018-01-12,IE0004460683,7.4590
2018-01-15,IE0004460683,7.4160
2018-01-16,IE0004460683,7.3550
2018-01-17,IE0004460683,7.3640
2018-01-18,IE0004460683,7.3330
2018-01-19,IE0004460683,7.3330
2018-01-22,IE0004460683,7.4060
2018-01-23,IE0004460683,7.3850
2018-01-24,IE0004460683,7.3450
2018-01-25,IE0004460683,7.2650
2018-01-26,IE0004460683,7.3030
2018-01-29,IE0004460683,7.2670
2018-01-30,IE0004460683,7.1190
2018-01-31,IE0004460683,7.0910
2018-02-01,IE0004460683,7.0980
2018-02-02,IE0004460683,6.9130
2018-02-05,IE0004460683,6.7280
2018-02-06,IE0004460683,6.7250
2018-02-07,IE0004460683,6.7270
2018-02-08,IE0004460683,6.5830
2018-02-09,IE0004460683,6.5390
2018-02-12,IE0004460683,6.6300
2018-02-13,IE0004460683,6.5890
2018-02-14,IE0004460683,6.6400
2018-02-15,IE0004460683,6.6320
2018-02-16,IE0004460683,6.6570
2018-02-19,IE0004460683,6.6700
2018-02-20,IE0004460683,6.6820
2018-02-21,IE0004460683,6.6360
2018-02-22,IE0004460683,6.6630
2018-02-23,IE0004460683,6.7620
2018-02-26,IE0004460683,6.8010
2018-02-27,IE0004460683,6.7620
2018-02-28,IE0004460683,6.6610
2018-03-01,IE0004460683,6.6240
2018-03-02,IE0004460683,6.5370
2018-03-05,IE0004460683,6.5900
2018-03-06,IE0004460683,6.5940
2018-03-07,IE0004460683,6.5540
2018-03-08,IE0004460683,6.5890
2018-03-09,IE0004460683,6.6710
2018-03-12,IE0004460683,6.6820
2018-03-13,IE0004460683,6.6230
2018-03-14,IE0004460683,6.6020
2018-03-15,IE0004460683,6.5800
2018-03-16,IE0004460683,6.6480
2018-03-20,IE0004460683,6.5870
2018-03-21,IE0004460683,6.7170
2018-03-22,IE0004460683,6.5980
2018-03-23,IE0004460683,6.5270
2018-03-26,IE0004460683,6.5590
2018-03-27,IE0004460683,6.5810
2018-03-28,IE0004460683,6.5080
2018-03-29,IE0004460683,6.6160
2018-04-03,IE0004460683,6.6250
2018-04-04,IE0004460683,6.6180
2018-04-05,IE0004460683,6.7870
2018-04-06,IE0004460683,6.6990
2018-04-09,IE0004460683,6.6930
2018-04-10,IE0004460683,6.8370
2018-04-11,IE0004460683,6.8690
2018-04-12,IE0004460683,6.9020
2018-04-13,IE0004460683,6.9450
2018-04-16,IE0004460683,6.9590
2018-04-17,IE0004460683,7.0120
2018-04-18,IE0004460683,7.1070
2018-04-19,IE0004460683,7.1280
2018-04-20,IE0004460683,7.1260
2018-04-23,IE0004460683,7.1710
2018-04-24,IE0004460683,7.1370
2018-04-26,IE0004460683,7.2470
2018-04-27,IE0004460683,7.2250
2018-04-30,IE0004460683,7.2290
2018-05-02,IE0004460683,7.3150
2018-05-03,IE0004460683,7.2960
2018-05-04,IE0004460683,7.3600
2018-05-08,IE0004460683,7.4160
2018-05-09,IE0004460683,7.5670
2018-05-11,IE0004460683,7.5740
2018-05-14,IE0004460683,7.6170
2018-05-15,IE0004460683,7.6700
2018-05-16,IE0004460683,7.7160
2018-05-17,IE0004460683,7.8220
2018-05-18,IE0004460683,7.7900
2018-05-22,IE0004460683,7.7670
2018-05-23,IE0004460683,7.7160
2018-05-24,IE0004460683,7.5940
2018-05-25,IE0004460683,7.4510
2018-05-28,IE0004460683,7.4440
2018-05-29,IE0004460683,7.4640
2018-05-30,IE0004460683,7.6270
2018-05-31,IE0004460683,7.5590
2018-06-01,IE0004460683,7.5930
2018-06-05,IE0004460683,7.5100
2018-06-06,IE0004460683,7.4850
2018-06-07,IE0004460683,7.5670
2018-06-08,IE0004460683,7.5660
2018-06-11,IE0004460683,7.5890
2018-06-12,IE0004460683,7.5440
2018-06-13,IE0004460683,7.5120
2018-06-14,IE0004460683,7.5940
2018-06-15,IE0004460683,7.4520
2018-06-18,IE0004460683,7.5210
2018-06-19,IE0004460683,7.5180
2018-06-20,IE0004460683,7.5280
2018-06-21,IE0004460683,7.4060
2018-06-22,IE0004460683,7.5490
2018-06-25,IE0004460683,7.3710
2018-06-26,IE0004460683,7.4680
2018-06-27,IE0004460683,7.6160
2018-06-28,IE0004460683,7.6160
2018-06-29,IE0004460683,7.6110
2018-07-02,IE0004460683,7.5500
2018-07-03,IE0004460683,7.5820
2018-07-04,IE0004460683,7.5910
2018-07-05,IE0004460683,7.5620
2018-07-06,IE0004460683,7.5790
2018-07-09,IE0004460683,7.6700
2018-07-10,IE0004460683,7.7510
2018-07-11,IE0004460683,7.5990
2018-07-12,IE0004460683,7.6220
2018-07-13,IE0004460683,7.6560
2018-07-16,IE0004460683,7.5410
2018-07-17,IE0004460683,7.5220
2018-07-18,IE0004460683,7.5350
2018-07-19,IE0004460683,7.5790
2018-07-20,IE0004460683,7.5170
2018-07-23,IE0004460683,7.5010
2018-07-24,IE0004460683,7.5650
2018-07-25,IE0004460683,7.6180
2018-07-26,IE0004460683,7.6650
2018-07-27,IE0004460683,7.6670
2018-07-30,IE0004460683,7.6840
2018-07-31,IE0004460683,7.7010
2018-08-01,IE0004460683,7.6360
2018-08-02,IE0004460683,7.6120
2018-08-03,IE0004460683,7.6130
2018-08-07,IE0004460683,7.6860
2018-08-08,IE0004460683,7.6320
2018-08-09,IE0004460683,7.6050
2018-08-10,IE0004460683,7.6570
2018-08-13,IE0004460683,7.6020
2018-08-14,IE0004460683,7.6360
2018-08-16,IE0004460683,7.4380
2018-08-17,IE0004460683,7.4510
2018-08-20,IE0004460683,7.4860
2018-08-21,IE0004460683,7.4750
2018-08-22,IE0004460683,7.5110
2018-08-23,IE0004460683,7.5080
2018-08-24,IE0004460683,7.5300
2018-08-27,IE0004460683,7.5560
2018-08-28,IE0004460683,7.4990
2018-08-29,IE0004460683,7.5290
2018-08-30,IE0004460683,7.5350
2018-08-31,IE0004460683,7.4660
2018-09-03,IE0004460683,7.4780
2018-09-04,IE0004460683,7.4730
2018-09-05,IE0004460683,7.4050
2018-09-06,IE0004460683,7.2830
2018-09-07,IE0004460683,7.2860
2018-09-10,IE0004460683,7.2710
2018-09-11,IE0004460683,7.3530
2018-09-12,IE0004460683,7.3900
2018-09-13,IE0004460683,7.3640
2018-09-14,IE0004460683,7.3890
2018-09-17,IE0004460683,7.3880
2018-09-18,IE0004460683,7.4440
2018-09-19,IE0004460683,7.4840
2018-09-20,IE0004460683,7.4460
2018-09-21,IE0004460683,7.4870
2018-09-24,IE0004460683,7.5620
2018-09-25,IE0004460683,7.6260
2018-09-26,IE0004460683,7.5970
2018-09-27,IE0004460683,7.6440
2018-09-28,IE0004460683,7.6550
2018-10-01,IE0004460683,7.7680
2018-10-02,IE0004460683,7.7800
2018-10-03,IE0004460683,7.8460
2018-10-04,IE0004460683,7.8250
2018-10-05,IE0004460683,7.7850
2018-10-08,IE0004460683,7.7620
2018-10-09,IE0004460683,7.8240
2018-10-10,IE0004460683,7.5980
2018-10-11,IE0004460683,7.3530
2018-10-12,IE0004460683,7.3640
2018-10-15,IE0004460683,7.3380
2018-10-16,IE0004460683,7.4080
2018-10-17,IE0004460683,7.3740
2018-10-18,IE0004460683,7.3370
2018-10-19,IE0004460683,7.3100
2018-10-22,IE0004460683,7.2400
2018-10-23,IE0004460683,7.0650
2018-10-24,IE0004460683,6.9100
2018-10-25,IE0004460683,6.9590
2018-10-26,IE0004460683,6.9210
2018-10-30,IE0004460683,6.9330
2018-10-31,IE0004460683,7.0390
2018-11-02,IE0004460683,6.9770
2018-11-05,IE0004460683,7.0780
2018-11-06,IE0004460683,7.0840
2018-11-08,IE0004460683,7.0680
2018-11-09,IE0004460683,7.0470
2018-11-12,IE0004460683,7.0010
2018-11-13,IE0004460683,6.8430
2018-11-14,IE0004460683,6.8190
2018-11-15,IE0004460683,6.8950
2018-11-16,IE0004460683,6.9050
2018-11-19,IE0004460683,6.8540
2018-11-20,IE0004460683,6.7060
2018-11-21,IE0004460683,6.8060
2018-11-22,IE0004460683,6.7930
2018-11-23,IE0004460683,6.6220
2018-11-26,IE0004460683,6.7120
2018-11-27,IE0004460683,6.7030
2018-11-28,IE0004460683,6.7620
2018-11-29,IE0004460683,6.7630
2018-11-30,IE0004460683,6.7790
2018-12-03,IE0004460683,6.9230
2018-12-04,IE0004460683,6.7900
2018-12-05,IE0004460683,6.7700
2018-12-06,IE0004460683,6.5780
2018-12-07,IE0004460683,6.5790
2018-12-10,IE0004460683,6.4890
2018-12-11,IE0004460683,6.5110
2018-12-12,IE0004460683,6.5200
2018-12-13,IE0004460683,6.5360
2018-12-14,IE0004460683,6.4200
2018-12-17,IE0004460683,6.2930
2018-12-18,IE0004460683,6.1650
2018-12-19,IE0004460683,6.0890
2018-12-20,IE0004460683,5.9750
2018-12-21,IE0004460683,5.9190
2018-12-24,IE0004460683,5.7430
2018-12-28,IE0004460683,6.0130
2018-12-31,IE0004460683,6.0320
2019-01-02,IE0004460683,6.1430
2019-01-03,IE0004460683,6.1150
2019-01-04,IE0004460683,6.2640
2019-01-07,IE0004460683,6.3080
2019-01-08,IE0004460683,6.3570
2019-01-09,IE0004460683,6.4090
2019-01-10,IE0004460683,6.4180
2019-01-11,IE0004460683,6.3960
2019-01-14,IE0004460683,6.3960
2019-01-15,IE0004460683,6.4360
2019-01-16,IE0004460683,6.4470
2019-01-17,IE0004460683,6.4940
2019-01-18,IE0004460683,6.5990
2019-01-21,IE0004460683,6.6020
2019-01-22,IE0004460683,6.4660
2019-01-23,IE0004460683,6.4040
2019-01-24,IE0004460683,6.4510
2019-01-25,IE0004460683,6.4990
2019-01-28,IE0004460683,6.4080
2019-01-29,IE0004460683,6.4460
2019-01-30,IE0004460683,6.5210
2019-01-31,IE0004460683,6.5400
2019-02-01,IE0004460683,6.6000
2019-02-04,IE0004460683,6.6540
2019-02-05,IE0004460683,6.6720
2019-02-06,IE0004460683,6.6540
2019-02-07,IE0004460683,6.5230
2019-02-08,IE0004460683,6.5010
2019-02-11,IE0004460683,6.5470
2019-02-12,IE0004460683,6.6020
2019-02-13,IE0004460683,6.6730
2019-02-14,IE0004460683,6.7070
2019-02-15,IE0004460683,6.8160
2019-02-18,IE0004460683,6.7910
2019-02-19,IE0004460683,6.7980
2019-02-20,IE0004460683,6.8050
2019-02-21,IE0004460683,6.7200
2019-02-22,IE0004460683,6.7590
2019-02-25,IE0004460683,6.7530
2019-02-26,IE0004460683,6.7340
2019-02-27,IE0004460683,6.7340
2019-02-28,IE0004460683,6.6880
2019-03-01,IE0004460683,6.7610
2019-03-04,IE0004460683,6.8090
2019-03-05,IE0004460683,6.7970
2019-03-06,IE0004460683,6.7140
2019-03-07,IE0004460683,6.7070
2019-03-08,IE0004460683,6.5970
2019-03-11,IE0004460683,6.6950
2019-03-12,IE0004460683,6.7180
2019-03-13,IE0004460683,6.7900
2019-03-14,IE0004460683,6.8000
2019-03-15,IE0004460683,6.7880
2019-03-19,IE0004460683,6.8540
2019-03-20,IE0004460683,6.9260
2019-03-21,IE0004460683,6.9390
2019-03-22,IE0004460683,6.8130
2019-03-25,IE0004460683,6.7720
2019-03-26,IE0004460683,6.8830
2019-03-27,IE0004460683,6.8640
2019-03-28,IE0004460683,6.8910
2019-03-29,IE0004460683,6.8980
2019-04-01,IE0004460683,6.9880
2019-04-02,IE0004460683,6.9650
2019-04-03,IE0004460683,6.8860
2019-04-04,IE0004460683,6.9250
2019-04-05,IE0004460683,7.0290
2019-04-08,IE0004460683,7.0490
2019-04-09,IE0004460683,6.9610
2019-04-10,IE0004460683,7.0180
2019-04-11,IE0004460683,6.9730
2019-04-12,IE0004460683,7.0330
2019-04-15,IE0004460683,7.0090
2019-04-16,IE0004460683,7.0390
2019-04-17,IE0004460683,7.0500
2019-04-18,IE0004460683,7.0650
2019-04-23,IE0004460683,7.2220
2019-04-24,IE0004460683,7.1090
2019-04-26,IE0004460683,7.0370
2019-04-29,IE0004460683,7.0180
2019-04-30,IE0004460683,6.9960
2019-05-02,IE0004460683,6.7810
2019-05-03,IE0004460683,6.8430
2019-05-07,IE0004460683,6.7420
2019-05-08,IE0004460683,6.7510
2019-05-10,IE0004460683,6.7240
2019-05-13,IE0004460683,6.6360
2019-05-14,IE0004460683,6.7320
2019-05-15,IE0004460683,6.7630
2019-05-16,IE0004460683,6.8430
2019-05-17,IE0004460683,6.8050
2019-05-20,IE0004460683,6.7990
2019-05-21,IE0004460683,6.8660
2019-05-22,IE0004460683,6.7650
2019-05-23,IE0004460683,6.5570
2019-05-24,IE0004460683,6.5440
2019-05-27,IE0004460683,6.5510
2019-05-28,IE0004460683,6.5110
2019-05-29,IE0004460683,6.4980
2019-05-31,IE0004460683,6.3590
2019-06-04,IE0004460683,6.4310
2019-06-05,IE0004460683,6.3460
2019-06-06,IE0004460683,6.4080
2019-06-07,IE0004460683,6.4070
2019-06-11,IE0004460683,6.4610
2019-06-12,IE0004460683,6.3600
2019-06-13,IE0004460683,6.4410
2019-06-14,IE0004460683,6.4180
2019-06-17,IE0004460683,6.4530
2019-06-21,IE0004460683,6.6670
2019-06-24,IE0004460683,6.5800
2019-06-25,IE0004460683,6.5390
2019-06-26,IE0004460683,6.6240
2019-06-27,IE0004460683,6.5890
2019-06-28,IE0004460683,6.6360
2019-07-01,IE0004460683,6.6860
2019-07-02,IE0004460683,6.5980
2019-07-03,IE0004460683,6.6210
2019-07-04,IE0004460683,6.6220
2019-07-05,IE0004460683,6.6660
2019-07-08,IE0004460683,6.6620
2019-07-09,IE0004460683,6.6720
2019-07-10,IE0004460683,6.7340
2019-07-11,IE0004460683,6.7390
2019-07-12,IE0004460683,6.7390
2019-07-15,IE0004460683,6.6590
2019-07-16,IE0004460683,6.6120
2019-07-17,IE0004460683,6.5280
2019-07-18,IE0004460683,6.5270
2019-07-19,IE0004460683,6.5580
2019-07-22,IE0004460683,6.5730
2019-07-23,IE0004460683,6.6310
2019-07-24,IE0004460683,6.6380
2019-07-25,IE0004460683,6.5430
2019-07-26,IE0004460683,6.5340
2019-07-29,IE0004460683,6.5080
2019-07-30,IE0004460683,6.5730
2019-07-31,IE0004460683,6.5510
2019-08-01,IE0004460683,6.4220
2019-08-02,IE0004460683,6.3440
2019-08-06,IE0004460683,6.1640
2019-08-07,IE0004460683,6.1370
2019-08-08,IE0004460683,6.2570
2019-08-09,IE0004460683,6.2110
2019-08-12,IE0004460683,6.1650
2019-08-13,IE0004460683,6.2360
2019-08-14,IE0004460683,6.0620
2019-08-16,IE0004460683,6.1220
